continent,year,pcgdp_mean,pop_mean,pop_total,life_mean,n_countries
Africa,1952,1252.57,4570009.63,237640501,39.14,52
Africa,1957,1385.24,5093033.42,264837738,41.27,52
Africa,1962,1598.08,5702247.4,296516865,43.32,52
Africa,1967,2050.36,6447874.79,335289489,45.33,52
Africa,1972,2339.62,7305375.79,379879541,47.45,52
Africa,1977,2585.94,8328096.56,433061021,49.58,52
Africa,1982,2481.59,9602857.44,499348587,51.59,52
Africa,1987,2282.67,11054502.12,574834110,53.34,52
Africa,1992,2281.81,12674644.56,659081517,53.63,52
Africa,1997,2378.76,14304480.46,743832984,53.6,52
Africa,2002,2599.39,16033152.23,833723916,53.33,52
Africa,2007,3089.03,17875763.31,929539692,54.81,52
Americas,1952,4079.06,13806097.84,345152446,53.28,25
Americas,1957,4616.04,15478156.64,386953916,55.96,25
Americas,1962,4901.54,17330810.16,433270254,58.4,25
Americas,1967,5668.25,19229864.92,480746623,60.41,25
Americas,1972,6491.33,21175368.4,529384210,62.39,25
Americas,1977,7352.01,23122707.96,578067699,64.39,25
Americas,1982,7506.74,25211636.8,630290920,66.23,25
Americas,1987,7793.4,27310158.84,682753971,68.09,25
Americas,1992,8044.93,29570964.16,739274104,69.57,25
Americas,1997,8889.3,31876016.4,796900410,71.15,25
Americas,2002,9287.68,33990910.48,849772762,72.42,25
Americas,2007,11003.03,35954847.36,898871184,73.61,25
Asia,1952,5195.48,42283556.09,1395357351,46.31,33
Asia,1957,5787.73,47356987.85,1562780599,49.32,33
Asia,1962,5729.37,51404763.09,1696357182,51.56,33
Asia,1967,5971.17,57747360.61,1905662900,54.66,33
Asia,1972,8187.47,65180977.21,2150972248,57.32,33
Asia,1977,7791.31,72257986.55,2384513556,59.61,33
Asia,1982,7434.14,79095017.64,2610135582,62.62,33
Asia,1987,7608.23,87006689.76,2871220762,64.85,33
Asia,1992,8639.69,94948248.21,3133292191,66.54,33
Asia,1997,9834.09,102523803.03,3383285500,68.02,33
Asia,2002,10174.09,109145521.3,3601802203,69.23,33
Asia,2007,12473.03,115513752.33,3811953827,70.73,33
Europe,1952,5661.06,13937361.53,418120846,64.41,30
Europe,1957,6963.01,14596345.03,437890351,66.7,30
Europe,1962,8365.49,15345171.83,460355155,68.54,30
Europe,1967,10143.82,16039298.6,481178958,69.74,30
Europe,1972,12479.58,16687835.3,500635059,70.78,30
Europe,1977,14283.98,17238817.7,517164531,71.94,30
Europe,1982,15617.9,17708896.7,531266901,72.81,30
Europe,1987,17214.31,18103138.67,543094160,73.64,30
Europe,1992,17061.57,18604759.9,558142797,74.44,30
Europe,1997,19076.78,18964804.93,568944148,75.51,30
Europe,2002,21711.73,19274128.97,578223869,76.7,30
Europe,2007,25054.48,19536617.63,586098529,77.65,30
Oceania,1952,10298.09,5343003,10686006,69.25,2
Oceania,1957,11598.52,5970988,11941976,70.3,2
Oceania,1962,12696.45,6641759,13283518,71.09,2
Oceania,1967,14495.02,7300207,14600414,71.31,2
Oceania,1972,16417.33,8053050,16106100,71.91,2
Oceania,1977,17283.96,8619500,17239e3,72.85,2
Oceania,1982,18554.71,9197425,18394850,74.29,2
Oceania,1987,20448.04,9787207.5,19574415,75.32,2
Oceania,1992,20894.05,10459825.5,20919651,76.94,2
Oceania,1997,24024.18,11120715,22241430,78.19,2
Oceania,2002,26938.78,11727414.5,23454829,79.74,2
Oceania,2007,29810.19,12274973.5,24549947,80.72,2
